Parttype (category),Parttype URL (category),Make,Make URL,Model,Model URL,Series,Year,Engine cc,Type,PartNumber
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,,90/11-94/7,,,"EIP104
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,200 QUATTRO,,,86/1-90/11,,,"EIP017
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,,86/1-90/11,,,"－
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,,86/1-90/11,,,"－
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,,86/1-90/11,,,"EIP017
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,,86/1-90/11,,,"－
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,,86/1-90/11,,,"EIP017
EIP043"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,A1,,8XCAX,11/1-,,,"EIP122
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,A1 SPORTBAＣK,,8XCAX,12/6-,,,"
"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,A3,,8PCAX,08/9-,,,"EIP122
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8PBGU 8PBSE,04/02-,,,"EIP102
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8LAGN 8LAPG,97-,,,"EIP102
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8LAGU,97-99/10,,,"EIP024
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8LAUQ,01/5-,,,"EIP104
EIP025"
ブレーキパッド,https://www.endless-sport.co.jp/products/brake_pad/index.html,ＡＵＤＩ,https://www.endless-sport.co.jp/products/brake_pad/BrakePad_Carlist/import/BrakePad_AUDI.html,,,8LAQAF,99/10-01/4,,,"EIP024
EIP025"
