partnumber,VehicleRawProperties_asli,VehicleRawProperties,make,Model,engine,Years,VehicleDataStandard,TypeId,ImportId,ImportTable,VehicleImportRegion,UvdbFromYearID,UvdbToYearID,Action,format_data,format_data
390058,BMW 5-Series 10-,BMW 5-Series ,,,,2010,,,,,,,,,"{""make"": ""BMW"", ""model"": ""5-Series"", ""engine"": """"}","{""make"": ""BMW"", ""model"": ""5-Series"", ""engine"": """"}"
390059,MERCEDES A-CLASS 12-,MERCEDES A-CLASS ,,,,2012,,,,,,,,,"{""make"": ""MERCEDES"", ""model"": ""A-CLASS"", ""engine"": """"}","{""make"": ""MERCEDES"", ""model"": ""A-CLASS"", ""engine"": """"}"
390060,MERCEDES C-Series 00-,MERCEDES C-Series ,,,,2000,,,,,,,,,"{""make"": ""MERCEDES"", ""model"": ""C-Series"", ""engine"": """"}","{""make"": ""MERCEDES"", ""model"": ""C-Series"", ""engine"": """"}"
390061,AUDI Q5 09-,AUDI Q5 ,,,,2009,,,,,,,,,"{""make"": ""AUDI"", ""model"": ""Q5"", ""engine"": """"}","{""make"": ""AUDI"", ""model"": ""Q5"", ""engine"": """"}"
390062,VW GOLF VII 12-,VW GOLF VII ,,,,2012,,,,,,,,,"{""make"": ""VW"", ""model"": ""GOLF"", ""engine"": ""VII""}","{""make"": ""VW"", ""model"": ""GOLF"", ""engine"": ""VII""}"
390063,VW/AUDI 12-,VW/AUDI ,,,,2012,,,,,,,,,"{""make"": ""VW/AUDI"", ""model"": """", ""engine"": """"}","{""make"": ""VW/AUDI"", ""model"": """", ""engine"": """"}"
390064,CITROEN C3 17-,CITROEN C3 ,,,,2017,,,,,,,,,"{""make"": ""CITROEN"", ""model"": ""C3"", ""engine"": """"}","{""make"": ""CITROEN"", ""model"": ""C3"", ""engine"": """"}"
390065,FORD FIESTA 17-,FORD FIESTA ,,,,2017,,,,,,,,,"{""make"": ""FORD"", ""model"": ""FIESTA"", ""engine"": """"}","{""make"": ""FORD"", ""model"": ""FIESTA"", ""engine"": """"}"
390066,LAND-ROVER Discovery Sport 15-,LAND-ROVER Discovery Sport ,,,,2015,,,,,,,,,"{""make"": ""LAND-ROVER"", ""model"": ""Discovery"", ""engine"": ""Sport""}","{""make"": ""LAND-ROVER"", ""model"": ""Discovery"", ""engine"": ""Sport""}"
390067,TOYOTA CH-R 17-,TOYOTA CH-R ,,,,2017,,,,,,,,,"{""make"": ""TOYOTA"", ""model"": ""CH-R"", ""engine"": """"}","{""make"": ""TOYOTA"", ""model"": ""CH-R"", ""engine"": """"}"
390068,TESLA S 13-,TESLA S ,,,,2013,,,,,,,,,"{""make"": ""TESLA"", ""model"": ""S"", ""engine"": """"}","{""make"": ""TESLA"", ""model"": ""S"", ""engine"": """"}"
390069,BMW  11-,BMW  ,,,,2011,,,,,,,,,"{""make"": ""BMW"", ""model"": """", ""engine"": """"}","{""make"": ""BMW"", ""model"": """", ""engine"": """"}"
390070,TOYOTA C-HR 17-,TOYOTA C-HR ,,,,2017,,,,,,,,,"{""make"": ""TOYOTA"", ""model"": ""C-HR"", ""engine"": """"}","{""make"": ""TOYOTA"", ""model"": ""C-HR"", ""engine"": """"}"
390072,TOYOTA YARIS 11-,TOYOTA YARIS ,,,,2011,,,,,,,,,"{""make"": ""TOYOTA"", ""model"": ""YARIS"", ""engine"": """"}","{""make"": ""TOYOTA"", ""model"": ""YARIS"", ""engine"": """"}"
390073,TESLA 3 17-,TESLA 3 ,,,,2017,,,,,,,,,"{""make"": ""TESLA"", ""model"": ""3"", ""engine"": """"}","{""make"": ""TESLA"", ""model"": ""3"", ""engine"": """"}"
47000,FORD Mondeo 1.8D 97-,FORD Mondeo 1.8D ,,,,1997,,,,,,,,,"{""make"": ""FORD"", ""model"": ""Mondeo"", ""engine"": ""1.8D""}","{""make"": ""FORD"", ""model"": ""Mondeo"", ""engine"": ""1.8D""}"
470001,Hyundai i10 1.1 2008-,Hyundai i10 1.1 ,,,,2008,,,,,,,,,"{""make"": ""Hyundai"", ""model"": ""i10"", ""engine"": ""1.1""}","{""make"": ""Hyundai"", ""model"": ""i10"", ""engine"": ""1.1""}"
470002,Hyundai ix35 2.0/2.4 10-,Hyundai ix35 2.0/2.4 ,,,,2010,,,,,,,,,"{""make"": ""Hyundai"", ""model"": ""ix35"", ""engine"": ""2.0/2.4""}","{""make"": ""Hyundai"", ""model"": ""ix35"", ""engine"": ""2.0/2.4""}"
470003,"BMW 118 1,5 2011-","BMW 118 1,5 ",,,,2011,,,,,,,,,"{""make"": ""BMW"", ""model"": ""118"", ""engine"": ""1,5""}","{""make"": ""BMW"", ""model"": ""118"", ""engine"": ""1,5""}"
470004,KIA CEED 1.4/1.6 2008-2012,KIA CEED 1.4/1.6 2012,,,,2008,,,,,,,,,"{""make"": ""KIA"", ""model"": ""CEED"", ""engine"": ""1.4/1.6""}","{""make"": ""KIA"", ""model"": ""CEED"", ""engine"": ""1.4/1.6""}"
470005,BMW X3 2.0D 2011-,BMW X3 2.0D ,,,,2011,,,,,,,,,"{""make"": ""BMW"", ""model"": ""X3"", ""engine"": ""2.0D""}","{""make"": ""BMW"", ""model"": ""X3"", ""engine"": ""2.0D""}"
470006,Hyundai Getz 1.1/1.3 2002-,Hyundai Getz 1.1/1.3 ,,,,2002,,,,,,,,,"{""make"": ""Hyundai"", ""model"": ""Getz"", ""engine"": ""1.1/1.3""}","{""make"": ""Hyundai"", ""model"": ""Getz"", ""engine"": ""1.1/1.3""}"
470007,Mazda 6 13-,Mazda 6 ,,,,2013,,,,,,,,,"{""make"": ""Mazda"", ""model"": ""6"", ""engine"": """"}","{""make"": ""Mazda"", ""model"": ""6"", ""engine"": """"}"
