partnumber,name,description,images,retailprice,parttype,Brand,sku,Barcode,EAN,WeightGrams,DimensionsLengthMM,DimensionsWidthMM,DimensionsHeightMM,Gtin14
470016,Honda Jazz 2008-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470016,,'8718042366986,,,,,
470017,RENAULT Megane 16-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470017,,'8718042367006,,,,,
470018,FIAT Tipo 16-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470018,,'8718042367020,,,,,
470019,Mercedes S-callse 2013-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470019,,'8718042367129,,,,,
47002,FORD Mondeo 1.8 97-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/4/7/47002_1500x1000_WM_001_2.jpg,,,NRF,47002,,'8718042029010,,,,,
470020,OPEL Insignia 1.5 17-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470020,,'8718042367143,,,,,
470021,JEEP Wrangler 3.6 06-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470021,,'8718042367167,,,,,
470022,Audi A4 1995-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470022,,'8718042367181,,,,,
470023,DACIA Duster 03/2010>,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470023,,'8718042367204,,,,,
470024,HONDA HRV 1.5 14-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470024,,'8718042367228,,,,,
470025,VOLVO XC90 2.0D 15-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470025,,'8718042367242,,,,,
470026,Jaduar F-Pace 2015-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470026,,'8718042367266,,,,,
470027,Jaguar XE 2015-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470027,,'8718042367280,,,,,
470028,LandRover Discovery 2.7D 17-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470028,,'8718042367303,,,,,
470029,HYUNDAI SantaFe 2.2D 18-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470029,,'8718042367327,,,,,
47003,FORD Mondeo 2.0D 01-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/4/7/47003_1500x1000_WM_001_1.jpg,,,NRF,47003,,'8718042029027,,,,,
470030,OPEL Corsa 1.2 01-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470030,,'8718042367341,,,,,
470031,DODGE Challenger 6.2 11-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470031,,'8718042367365,,,,,
470032,VW Polo 1.2 09-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/4/7/470032_1500x1000_wm_001.jpg,,,NRF,470032,,'8718042367389,,,,,
470033,VW Sharan 2.0D 10-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470033,,'8718042367402,,,,,
470034,VW Sharan 2.0D 10-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470034,,'8718042367426,,,,,
470035,PORSCHE 911 3.6 05-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470035,,'8718042367440,,,,,
470036,JEEP GrandCherokee 3.0D 10-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/4/7/470036_1500x1000_wm_001.jpg,,,NRF,470036,,'8718042367464,,,,,
470037,JEEP GrandCherokee 10-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/4/7/470037_1500x1000_wm_001.jpg,,,NRF,470037,,'8718042367488,,,,,
470038,PORSCHE Macan 14-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/4/7/470038_1500x1000_wm_001.jpg,,,NRF,470038,,'8718042367501,,,,,
470039,PORSCHE Boxter 2.5 12-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470039,,'8718042367525,,,,,
47004,FORD Mondeo 1.8 01-,,https://webshop.nrf.eu/media/catalog/product/cache/64949c6b81793c7ac24e505dec69ccb5/4/7/47004_1500x1000_WM_001_1.jpg,,,NRF,47004,,'8718042029034,,,,,
470040,BMW 1/3series 2.0 11-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470040,,'8718042367549,,,,,
470041,PORSCHE 911 3.8 12-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470041,,'8718042367563,,,,,
470042,CHEVROLET Camaro 6.2 16-,,https://webshop.nrf.eu/media/catalog/product/placeholder/default/NRF-base.png,,,NRF,470042,,'8718042367587,,,,,
